Timestep	Duration (ma)	End Time (ma)	Elastic ehmin	Elastic ehmax	Total ehmin	Total ehmax	FS HMin Mode1												FS HMin Mode2												FS HMax Mode1												FS HMax Mode2												uF Porosity: Uniform aperture	MF Porosity: Uniform aperture	uF Porosity: Size-dependent aperture	MF Porosity: Size-dependent aperture	uF Porosity: Dynamic aperture	MF Porosity: Dynamic aperture	uF Porosity: Barton-Bandis aperture	MF Porosity: Barton-Bandis aperture	
							Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed	Fracture stage	Driving stress	a_uFP30	s_uFP30	a_uFP32	s_uFP32	a_MFP30	sII_MFP30	sIJ_MFP30	a_MFP32	s_MFP32	Theta_dashed									
22	3.96079666060623E-06	0.143254527177764	-0.000206295271777644	0.00122625	-0.00143254527177765	0	NotActivated	0	0.00257156064507373	0	0.00775009640998041	0	0.000222222222222222	0	0	0	0	0.976744180373196	Growing	99670.3475156495	0.00242626925490467	9.25080467511649E-05	0.00633543309151661	0.000273961866037486	0.000507287007981853	3.24283973483689E-05	0	0.00854393875020611	0.000353127652190213	0.941690226792623	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.52164699195106E-05	4.44853320119816E-06	2.67035516412844E-07	4.19264376724033E-07	0	0	5.81569669409035E-06	2.34188591645052E-06	
23	3.78579424983148E-06	0.143258312972014	-0.000206333129720143	0.00122625	-0.00143258312972014	0	NotActivated	0	0.00256703231625686	0	0.00773644906124918	0	0.000222222222222222	0	0	0	0	0.975202539552241	Growing	99997.0431834167	0.00241840303920422	9.68711357330301E-05	0.00629711489328182	0.000287745774050373	0.000513064304331285	3.44359941539153E-05	0	0.00893317354201176	0.000387513168549856	0.938512013534962	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.5197379100034E-05	4.66034335528081E-06	2.66638095630955E-07	4.39227013444686E-07	0	0	5.80709364600775E-06	2.45340743681931E-06	
24	3.62644829391639E-06	0.143261939420308	-0.000206369394203082	0.00122625	-0.00143261939420308	0	NotActivated	0	0.00256250401109965	0	0.00772280178382275	0	0.000222222222222222	0	0	0	0	0.97365420798085	Growing	100309.988068645	0.00241064645517171	0.000101231536183081	0.00625988178779954	0.000301584011225507	0.000518591448973737	3.64699758919178E-05	0	0.0093208041877817	0.000423500617609663	0.935330123144904	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.51788580271672E-05	4.87215240269568E-06	2.66256179498767E-07	4.59189545864358E-07	0	0	5.79878902628686E-06	2.56492913361404E-06	
25	3.48075094095945E-06	0.143265420171249	-0.000206404201712491	0.00122625	-0.00143265420171249	0	NotActivated	0	0.00255797572983682	0	0.00770915457840855	0	0.000222222222222222	0	0	0	0	0.972099742016913	Growing	100610.359979515	0.00240299231377479	0.000105589301235159	0.00622365353362631	0.000315475090655065	0.000523884008895215	3.85296085991779E-05	0	0.00970682835159072	0.000461092313335929	0.932145119489806	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.51608658370883E-05	5.08396033246333E-06	2.65888642125451E-07	4.79151972948261E-07	0	0	5.79076145285204E-06	2.67645097182727E-06	
26	3.34702356855897E-06	0.143268767194818	-0.000206437671948177	0.00122625	-0.00143268767194818	0	NotActivated	0	0.00255344747269258	0	0.00769550744568223	0	0.000222222222222222	0	0	0	0	0.970539631138202	Growing	100899.191867253	0.00239543416416101	0.000109944481574346	0.00618835870162503	0.00032941764723534	0.000528955979996713	4.06142072946659E-05	0	0.0100912435952145	0.00050029067298041	0.928957499608986	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.51433661330146E-05	5.29576713409744E-06	2.65534482860628E-07	4.99114293708084E-07	0	0	5.78299187910561E-06	2.7879729191633E-06	
27	3.22385199176278E-06	0.143271991046809	-0.000206469910468095	0.00122625	-0.0014327199104681	0	NotActivated	0	0.00254891923988297	0	0.00768186038629497	0	0.000222222222222222	0	0	0	0	0.968974308231209	Growing	101177.394645779	0.00238796619307176	0.000114297125639927	0.00615393341763479	0.000343410424841705	0.000533819999210706	4.27231309377517E-05	0	0.0104740473856498	0.000541098209333396	0.925767704002254	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.51263263501291E-05	5.50757279749158E-06	2.65192808258365E-07	5.19076507191316E-07	0	0	5.77546326215494E-06	2.89949494568391E-06	
28	3.1100363861848E-06	0.143275101083196	-0.000206501010831957	0.00122625	-0.00143275101083196	0	NotActivated	0	0.00254439103161782	0	0.00766821340087907	0	0.000222222222222222	0	0	0	0	0.967404157974484	Growing	101445.775689998	0.00238058314108593	0.000118647279801941	0.00612032032287348	0.000357452265166551	0.000538487521340152	4.48557780730382E-05	0	0.010855237101693	0.000583517523971973	0.922576125012908	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.51097172302029E-05	5.71937731283251E-06	2.64862817188242E-07	5.39038612473083E-07	0	0	5.76816028830329E-06	3.01101702351359E-06	
29	3.0045521709231E-06	0.143278105635366	-0.000206531056353666	0.00122625	-0.00143278105635367	0	NotActivated	0	0.00253986284810206	0	0.00765456649005221	0	0.000222222222222222	0	0	0	0	0.96582952372482	Growing	101705.053958452	0.00237328023239161	0.000122994988516336	0.00608746770818328	0.000371542097975223	0.000542968967510949	4.70115830470473E-05	0	0.0112348100397186	0.000627551301347865	0.919383113713589	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.50935123838487E-05	5.93118067053323E-06	2.64543788455198E-07	5.59000608649829E-07	0	0	5.76106914429356E-06	3.12253912659228E-06	
30	2.90651915233202E-06	0.143281012154519	-0.000206560121545189	0.00122625	-0.00143281012154519	0	NotActivated	0	0.00253533468953696	0	0.00764091965442092	0	0.000222222222222222	0	0	0	0	0.964250713216071	Growing	101955.872453249	0.00236605311552043	0.000127340294462459	0.00605532878824073	0.000385678932573389	0.000547273850596436	4.9190012704495E-05	0	0.0116127634187733	0.000673202303588007	0.916188985604769	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.50776879233608E-05	6.14298286118065E-06	2.64235070436225E-07	5.78962494834394E-07	0	0	5.75417732541349E-06	3.23406123046614E-06	
31	2.81517696325818E-06	0.143283827331482	-0.000206588273314822	0.00122625	-0.00143283827331482	0	NotActivated	0	0.00253080655612092	0	0.00762727289458315	0	0.000222222222222222	0	0	0	0	0.962668003308082	Growing	102198.808560496	0.00235889781303342	0.000131683238665789	0.00602386108933259	0.000399861850311962	0.000551410881819701	5.1390563489359E-05	0	0.0119890943850851	0.00072047336590373	0.912994025363395	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	NotActivated	0	0.00266666666666667	0	0.00803672423574332	0	0.000222222222222222	0	0	0	0	1	1.50622221528572E-05	6.35478387549444E-06	2.63936072351121E-07	5.98924270152126E-07	0	0	5.74747347352888E-06	3.34558331210932E-06	
